0.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
1.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
2.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
3.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
4.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
5.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
6.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
7.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
8.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
75.    01000000101010010110001100101000       01000000101010010110001100100111     X
76.    01000001111000110000010011111101       01000001111000110000010011111101     X
77.    01000000101011111101111101101000       01000000101011111101111101100111     0
78.    11000001011111111010100101011110       11000001011111111010100101011110     X
79.    11000010000111100110001110100100       11000010000111100110001110100101     0
80.    01000000100011000001111101101100       01000000100011000001111101101100     X
81.    11000001101101100010010111000010       11000001101101100010010111000010     0
82.    01000010000100110110111001011100       01000010000100110110111001011100     0
83.    11000010001010111110110110111001       11000010001010111110110110111001     0
84.    10111111110011011011110100000000       10111111110011011011110011111000     0
85.    11000001110111110011001000111000       11000001110111110011001000110111     X
86.    11000001000011110010111000110001       11000001000011110010111000110010     X
87.    10111111011111110100101100000000       10111111011111110100101011111011     X
88.    01000001011101001100110000111000       01000001011101001100110000110111     X
89.    11000000100011001010100101011000       11000000100011001010100101011000     X
90.    11000000101111000001001001001010       11000000101111000001001001001011     0
91.    01000000111010111111110101000110       01000000111010111111110101000110     X
92.    01000001100110010001100110011010       01000001100110010001100110011010     0
93.    11000001011100101000000110011001       11000001011100101000000110011001     0
94.    01000010000011000001111011101111       01000010000011000001111011101111     0
95.    11000001111101100011100010110110       11000001111101100011100010110101     0
96.    01000000111010010100010101100010       01000000111010010100010101100011     X
97.    01000001101100000000010001101110       01000001101100000000010001101111     X
98.    01000001000101010001101011010101       01000001000101010001101011010101     X
99.    11000001101000101110001101101111       11000001101000101110001101101110     0
100.    00111110100110111001110110000000       00111110100110111001110101100010     X
